hidden_layers,dropout_rate,learning_rate,optimizer,batch_size,val_acc
"[256, 512, 64, 512]",0.033,0.000194,rmsprop,32,0.887
"[512, 128, 64, 128]",0.008,0.000893,rmsprop,128,0.8847
"[256, 256, 256]",0.239,0.000845,adam,64,0.8846
"[512, 256, 256]",0.05,0.000432,adam,32,0.8838
"[256, 256, 128]",0.001,0.000519,rmsprop,128,0.8829
"[512, 256, 64]",0.11,0.00152,rmsprop,128,0.882
"[128, 256]",0.048,0.001581,rmsprop,128,0.8816
"[256, 128, 512]",0.175,0.000223,adam,64,0.8813
"[512, 256, 256, 128]",0.111,0.001932,adam,64,0.8805
"[512, 128, 512]",0.297,0.000699,adam,64,0.8804
[256],0.188,0.003326,adam,128,0.8792
"[128, 128, 128]",0.075,0.000819,adam,32,0.8788
"[512, 128]",0.329,0.001003,rmsprop,128,0.8787
"[256, 64, 128]",0.004,0.000222,rmsprop,32,0.8786
"[64, 512, 512, 256]",0.081,0.000249,adam,64,0.8784
"[512, 64]",0.104,0.000381,adam,64,0.8783
"[64, 128, 256]",0.061,0.001119,adam,128,0.878
"[128, 128, 256]",0.006,0.000326,rmsprop,32,0.8773
"[512, 256, 64, 128]",0.15,0.000214,rmsprop,128,0.877
[256],0.392,0.001391,adam,32,0.8768
"[256, 128, 128]",0.034,0.004513,adam,128,0.8767
"[256, 512, 512]",0.307,0.000167,rmsprop,64,0.8766
"[256, 64, 256]",0.246,0.000595,rmsprop,64,0.8761
[512],0.2,0.001733,rmsprop,32,0.8759
"[512, 256, 128]",0.179,0.003596,adam,128,0.8748
[512],0.2,0.000941,adam,128,0.8741
"[512, 64, 64]",0.178,0.000434,rmsprop,32,0.8737
"[64, 512, 128]",0.174,0.001045,adam,32,0.8735
"[128, 512, 512, 64]",0.078,0.002549,adam,32,0.8727
[256],0.201,0.002121,rmsprop,32,0.8723
"[512, 128]",0.133,0.000173,adam,64,0.8717
"[256, 128, 64]",0.129,0.005711,adam,128,0.8717
"[512, 128, 128, 128]",0.31,0.000136,rmsprop,32,0.8714
"[256, 128]",0.277,0.000486,rmsprop,128,0.8709
"[512, 512]",0.002,0.000122,rmsprop,64,0.8707
"[512, 64, 512]",0.399,0.000395,adam,128,0.87
"[256, 128, 64, 64]",0.214,0.000227,rmsprop,64,0.8689
[512],0.317,0.000366,adam,32,0.8683
"[512, 256, 128, 64]",0.131,0.00383,adam,64,0.8682
[512],0.356,0.003614,adam,32,0.8681
"[256, 512, 128]",0.018,0.000104,adam,128,0.8669
[512],0.221,0.005133,rmsprop,32,0.8637
[64],0.076,0.000974,adam,64,0.8631
[128],0.237,0.007396,rmsprop,64,0.8612
"[64, 256, 64]",0.108,0.00014,rmsprop,32,0.861
"[256, 128]",0.093,0.007689,adam,32,0.8593
"[256, 256]",0.043,0.000134,adam,128,0.8583
[256],0.28,0.000379,rmsprop,64,0.8581
"[256, 64, 512, 64]",0.252,0.000516,rmsprop,32,0.8548
"[256, 256, 512, 512]",0.188,0.001097,rmsprop,32,0.8544
[128],0.106,0.000288,rmsprop,32,0.8543
